1992	06	01	KZ	TM	1	0	CAU		11	1586	1489	+3	−	57	76
1992	06	28	UZ	TM	2	1	CAU		6	1696	1483	+1	−4	33	81
1992	07	11	TM	TJ	3	3	CAU		-9	1474	1419	−1	+3	82	95
1992	09	14	TM	KZ	1	1	CAU		3	1477	1615	+2	0	78	52
1992	10	14	TM	KG	4	0	CAU		8	1485	1196	0	−1	78	152
1992	10	25	TM	UZ	1	0	CAU		25	1510	1651	+5	−8	73	42
1993	06	02	TM	TJ	6	0	FT		16	1526	1403	+4	−3	71	101
1993	06	07	TM	PK	4	0	ECO	IR	2	1528	971	0	0	71	189
1993	06	08	IR	TM	2	1	ECO		7	1628	1521	+3	−1	45	72
1993	06	14	IR	TM	2	1	ECO		7	1639	1514	+2	−2	43	74
1994	04	11	UZ	TM	4	0	CAU		16	1660	1498	+7	−5	38	78
1994	04	13	TM	KG	5	1	CAU	UZ	11	1509	1187	+5	−3	73	157
1994	04	15	KZ	TM	0	0	CAU	UZ	-6	1604	1515	0	+1	56	73
1994	04	19	TM	TJ	2	0	CAU	UZ	20	1535	1375	+3	−8	71	111
1994	10	01	CN	TM	2	2	ASG	JP	1	1519	1534	+3	0	72	68
1994	10	05	IR	TM	1	1	ASG	JP	-1	1559	1535	0	−1	65	69
1994	10	07	TM	YE	4	0	ASG	JP	11	1546	1209	+2	−2	67	153
1994	10	09	BH	TM	2	2	ASG	JP	7	1423	1539	+2	−3	96	70
1994	10	11	UZ	TM	3	0	ASG	JP	19	1729	1520	+1	−3	29	73
1996	03	10	TM	KW	2	2	SQ		-6	1514	1517	−2	+2	75	73
1996	03	22	KW	TM	2	0	SQ		22	1525	1492	+3	−7	73	81
1996	04	26	TM	IR	1	1	F		-1	1491	1549	0	0	81	68
1996	04	28	TM	IR	1	0	F		9	1500	1540	+2	−1	79	69
1996	05	12	LB	TM	3	1	SQ		36	1361	1464	+4	−9	116	88
1996	05	26	TM	LB	0	1	SQ		-31	1433	1392	−11	+9	98	107
1996	11	25	IR	TM	0	1	F		-16	1571	1449	−2	+4	61	93
1997	03	22	AZ	TM	3	0	F		15	1416	1434	+4	−3	103	95
1997	04	25	TM	AZ	2	0	F		9	1443	1383	+2	−3	93	112
1997	05	04	TM	CN	1	4	WQ		-27	1416	1647	−9	+8	102	44
1997	05	11	TM	VN	2	1	WQ		6	1422	1216	+6	−2	96	149
1997	05	25	TM	TJ	1	2	WQ		-26	1396	1443	−12	+11	108	92
1997	06	01	CN	TM	1	0	WQ		4	1672	1392	0	0	41	108
1997	06	08	VN	TM	0	4	WQ		-26	1159	1418	−3	+5	163	102
1997	06	22	TJ	TM	5	0	WQ		22	1503	1396	+5	−5	76	106
1998	11	21	TH	TM	3	3	F		-3	1392	1399	0	+2	108	105
1998	11	26	TM	QA	4	1	F	TH	22	1421	1471	+4	−5	101	84
1998	11	30	TM	VN	2	0	ASG	TH	16	1437	1228	+3	−6	98	145
1998	12	02	TM	KR	3	2	ASG	TH	34	1471	1692	+14	−9	84	39
1998	12	07	TM	IN	3	2	ASG	TH	5	1476	1112	+4	−3	81	172
1998	12	09	KP	TM	1	1	ASG	TH	1	1459	1475	0	0	89	81
1998	12	11	TM	UZ	1	1	ASG	TH	5	1480	1568	+1	−2	79	63
1998	12	14	CN	TM	3	0	ASG	TH	17	1691	1463	+3	−8	39	87
1999	10	30	AE	TM	3	1	FRT		14	1514	1449	+6	−7	71	95
1999	11	01	IQ	TM	3	0	FRT	AE	14	1638	1435	+2	−4	48	99
1999	11	03	EE	TM	1	1	FRT	AE	5	1327	1430	+1	−1	124	100
2000	02	10	KW	TM	6	1	SQ		11	1660	1419	+1	−3	45	100
2000	02	12	TM	YE	1	0	SQ	KW	9	1428	1198	+3	−1	97	153
2000	02	14	TM	NP	5	0	SQ	KW	2	1430	785	0	0	97	206
2000	02	16	TM	BT	8	0	SQ	KW	1	1431	564	0	0	97	223
2000	10	08	UZ	TM	3	0	F		9	1525	1422	+1	−3	74	97
2001	04	23	TM	JO	2	0	WQ	UZ	32	1454	1413	+9	−13	87	103
2001	04	25	UZ	TM	1	0	WQ		15	1454	1439	+5	−5	87	92
2001	04	27	TM	TW	5	0	WQ	UZ	7	1446	1020	+1	0	91	185
2001	05	03	UZ	TM	5	2	WQ	JO	35	1482	1411	+8	−12	82	103
2001	05	05	JO	TM	1	2	WQ		-27	1403	1438	−10	+11	104	92
2001	05	07	TM	TW	1	0	WQ	JO	3	1441	1008	0	0	91	187
2003	10	19	TM	AE	1	0	SQ		12	1453	1390	+4	−3	92	112
2003	10	30	AE	TM	1	1	SQ		-2	1388	1455	0	0	112	90
