date,group,team,model_pct,model_state_matches,pm_raw_pct,pm_devig_pct,inserted_at
2026-06-10,A,Czechia,23.0,0,17.5,17.233,2026-07-04T15:34:00.726141+00:00
2026-06-10,A,Mexico,51.846,0,57.5,56.622,2026-07-04T15:34:00.726141+00:00
2026-06-10,A,South Africa,3.4,0,6.05,5.958,2026-07-04T15:34:00.726141+00:00
2026-06-10,A,South Korea,21.754,0,20.5,20.187,2026-07-04T15:34:00.726141+00:00
2026-06-10,B,Bosnia and Herzegovina,8.196,0,12.5,12.249,2026-07-04T15:34:00.726141+00:00
2026-06-10,B,Canada,42.99,0,30.5,29.887,2026-07-04T15:34:00.726141+00:00
2026-06-10,B,Qatar,0.78,0,2.55,2.499,2026-07-04T15:34:00.726141+00:00
2026-06-10,B,Switzerland,48.034,0,56.5,55.365,2026-07-04T15:34:00.726141+00:00
2026-06-10,C,Brazil,63.878,0,71.5,71.038,2026-07-04T15:34:00.726141+00:00
2026-06-10,C,Haiti,1.344,0,0.7,0.695,2026-07-04T15:34:00.726141+00:00
2026-06-10,C,Morocco,23.332,0,20.5,20.368,2026-07-04T15:34:00.726141+00:00
2026-06-10,C,Scotland,11.446,0,7.95,7.899,2026-07-04T15:34:00.726141+00:00
2026-06-10,D,Australia,5.752,0,9.35,9.091,2026-07-04T15:34:00.726141+00:00
2026-06-10,D,Paraguay,12.852,0,17.5,17.015,2026-07-04T15:34:00.726141+00:00
2026-06-10,D,Turkey,42.056,0,37.5,36.461,2026-07-04T15:34:00.726141+00:00
2026-06-10,D,United States,39.34,0,38.5,37.433,2026-07-04T15:34:00.726141+00:00
2026-06-10,E,Curacao,0.564,0,0.55,0.544,2026-07-04T15:34:00.726141+00:00
2026-06-10,E,Ecuador,26.054,0,20.5,20.287,2026-07-04T15:34:00.726141+00:00
2026-06-10,E,Germany,58.14,0,67.5,66.799,2026-07-04T15:34:00.726141+00:00
2026-06-10,E,Ivory Coast,15.242,0,12.5,12.37,2026-07-04T15:34:00.726141+00:00
2026-06-10,F,Japan,25.444,0,27.5,27.295,2026-07-04T15:34:00.726141+00:00
2026-06-10,F,Netherlands,56.906,0,53.5,53.102,2026-07-04T15:34:00.726141+00:00
2026-06-10,F,Sweden,14.858,0,14.5,14.392,2026-07-04T15:34:00.726141+00:00
2026-06-10,F,Tunisia,2.792,0,5.25,5.211,2026-07-04T15:34:00.726141+00:00
2026-06-10,G,Belgium,66.554,0,69.5,68.137,2026-07-04T15:34:00.726141+00:00
2026-06-10,G,Egypt,17.83,0,16.5,16.176,2026-07-04T15:34:00.726141+00:00
2026-06-10,G,Iran,11.594,0,12.45,12.206,2026-07-04T15:34:00.726141+00:00
2026-06-10,G,New Zealand,4.022,0,3.55,3.48,2026-07-04T15:34:00.726141+00:00
2026-06-10,H,Cape Verde,0.516,0,0.95,0.941,2026-07-04T15:34:00.726141+00:00
2026-06-10,H,Saudi Arabia,0.374,0,2.0,1.981,2026-07-04T15:34:00.726141+00:00
2026-06-10,H,Spain,80.276,0,78.5,77.761,2026-07-04T15:34:00.726141+00:00
2026-06-10,H,Uruguay,18.834,0,19.5,19.316,2026-07-04T15:34:00.726141+00:00
2026-06-10,I,France,68.96,0,65.5,64.059,2026-07-04T15:34:00.726141+00:00
2026-06-10,I,Iraq,0.266,0,0.75,0.733,2026-07-04T15:34:00.726141+00:00
2026-06-10,I,Norway,16.392,0,24.5,23.961,2026-07-04T15:34:00.726141+00:00
2026-06-10,I,Senegal,14.382,0,11.5,11.247,2026-07-04T15:34:00.726141+00:00
2026-06-10,J,Algeria,8.768,0,9.65,9.545,2026-07-04T15:34:00.726141+00:00
2026-06-10,J,Argentina,75.988,0,71.5,70.722,2026-07-04T15:34:00.726141+00:00
2026-06-10,J,Austria,14.316,0,18.5,18.299,2026-07-04T15:34:00.726141+00:00
2026-06-10,J,Jordan,0.928,0,1.45,1.434,2026-07-04T15:34:00.726141+00:00
2026-06-10,K,Colombia,26.246,0,32.5,32.02,2026-07-04T15:34:00.726141+00:00
2026-06-10,K,DR Congo,4.768,0,4.25,4.187,2026-07-04T15:34:00.726141+00:00
2026-06-10,K,Portugal,65.198,0,62.5,61.576,2026-07-04T15:34:00.726141+00:00
2026-06-10,K,Uzbekistan,3.788,0,2.25,2.217,2026-07-04T15:34:00.726141+00:00
2026-06-10,L,Croatia,23.45,0,22.5,22.556,2026-07-04T15:34:00.726141+00:00
2026-06-10,L,England,72.158,0,68.5,68.672,2026-07-04T15:34:00.726141+00:00
2026-06-10,L,Ghana,2.288,0,5.9,5.915,2026-07-04T15:34:00.726141+00:00
2026-06-10,L,Panama,2.104,0,2.85,2.857,2026-07-04T15:34:00.726141+00:00
2026-06-11,A,Czechia,23.0,0,15.0,14.699,2026-07-04T15:34:00.726141+00:00
2026-06-11,A,Mexico,51.846,0,67.5,66.144,2026-07-04T15:34:00.726141+00:00
2026-06-11,A,South Africa,3.4,0,1.55,1.519,2026-07-04T15:34:00.726141+00:00
2026-06-11,A,South Korea,21.754,0,18.0,17.638,2026-07-04T15:34:00.726141+00:00
2026-06-11,B,Bosnia and Herzegovina,8.196,0,12.5,12.279,2026-07-04T15:34:00.726141+00:00
2026-06-11,B,Canada,42.99,0,30.5,29.961,2026-07-04T15:34:00.726141+00:00
2026-06-11,B,Qatar,0.78,0,2.3,2.259,2026-07-04T15:34:00.726141+00:00
2026-06-11,B,Switzerland,48.034,0,56.5,55.501,2026-07-04T15:34:00.726141+00:00
2026-06-11,C,Brazil,63.878,0,72.0,70.588,2026-07-04T15:34:00.726141+00:00
