date,round,team,model_pct,model_state_matches,pm_raw_pct,pm_devig_pct,inserted_at
2026-06-10,final,Algeria,0.702,0,1.5,1.163,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Argentina,18.906,0,19.5,15.113,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Australia,0.1,0,1.25,0.969,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Austria,1.698,0,2.9,2.248,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Belgium,5.392,0,7.0,5.425,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Bosnia and Herzegovina,0.184,0,1.5,1.163,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Brazil,12.58,0,19.5,15.113,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Canada,1.514,0,1.25,0.969,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Cape Verde,0.022,0,0.8,0.62,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Colombia,3.712,0,6.1,4.728,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Croatia,4.696,0,4.45,3.449,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Curacao,0.0,0,0.9,0.698,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Czechia,0.796,0,1.7,1.318,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,DR Congo,0.162,0,1.1,0.853,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Ecuador,3.104,0,3.6,2.79,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Egypt,0.47,0,1.1,0.853,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,England,20.874,0,23.0,17.826,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,France,24.75,0,28.5,22.089,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Germany,9.786,0,12.5,9.688,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Ghana,0.09,0,1.95,1.511,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Haiti,0.016,0,0.45,0.349,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Iran,0.2,0,1.5,1.163,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Iraq,0.004,0,0.6,0.465,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Ivory Coast,1.424,0,1.8,1.395,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Japan,2.828,0,4.55,3.526,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Jordan,0.01,0,0.6,0.465,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Mexico,1.322,0,5.8,4.495,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Morocco,2.958,0,5.05,3.914,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Netherlands,10.08,0,9.5,7.363,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,New Zealand,0.02,0,1.25,0.969,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Norway,3.992,0,7.5,5.813,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Panama,0.068,0,0.4,0.31,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Paraguay,0.618,0,2.1,1.628,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Portugal,14.512,0,18.5,14.338,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Qatar,0.002,0,0.6,0.465,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Saudi Arabia,0.004,0,1.4,1.085,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Scotland,0.89,0,1.95,1.511,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Senegal,3.502,0,2.95,2.286,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,South Africa,0.008,0,1.25,0.969,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,South Korea,0.734,0,1.6,1.24,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Spain,29.252,0,28.5,22.089,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Sweden,1.124,0,2.7,2.093,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Switzerland,4.274,0,3.8,2.945,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Tunisia,0.034,0,1.0,0.775,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Turkey,4.81,0,3.85,2.984,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,United States,2.076,0,3.45,2.674,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Uruguay,5.588,0,3.95,3.061,2026-07-04T15:36:52.581419+00:00
2026-06-10,final,Uzbekistan,0.112,0,1.35,1.046,2026-07-04T15:36:52.581419+00:00
2026-06-10,qf,Algeria,8.036,0,8.0,7.252,2026-07-04T15:36:52.581419+00:00
2026-06-10,qf,Argentina,47.522,0,51.5,46.686,2026-07-04T15:36:52.581419+00:00
2026-06-10,qf,Australia,2.648,0,5.0,4.533,2026-07-04T15:36:52.581419+00:00
2026-06-10,qf,Austria,12.354,0,13.5,12.238,2026-07-04T15:36:52.581419+00:00
2026-06-10,qf,Belgium,33.53,0,37.5,33.994,2026-07-04T15:36:52.581419+00:00
2026-06-10,qf,Bosnia and Herzegovina,6.36,0,5.5,4.986,2026-07-04T15:36:52.581419+00:00
2026-06-10,qf,Brazil,40.366,0,48.0,43.513,2026-07-04T15:36:52.581419+00:00
2026-06-10,qf,Canada,18.308,0,15.5,14.051,2026-07-04T15:36:52.581419+00:00
2026-06-10,qf,Cape Verde,0.976,0,2.25,2.04,2026-07-04T15:36:52.581419+00:00
2026-06-10,qf,Colombia,20.062,0,29.5,26.742,2026-07-04T15:36:52.581419+00:00
2026-06-10,qf,Croatia,22.446,0,20.5,18.584,2026-07-04T15:36:52.581419+00:00
2026-06-10,qf,Curacao,0.172,0,1.5,1.36,2026-07-04T15:36:52.581419+00:00
2026-06-10,qf,Czechia,11.508,0,10.5,9.518,2026-07-04T15:36:52.581419+00:00
2026-06-10,qf,DR Congo,3.09,0,5.85,5.303,2026-07-04T15:36:52.581419+00:00
2026-06-10,qf,Ecuador,19.052,0,19.0,17.224,2026-07-04T15:36:52.581419+00:00
2026-06-10,qf,Egypt,8.434,0,8.5,7.705,2026-07-04T15:36:52.581419+00:00
2026-06-10,qf,England,53.344,0,54.5,49.405,2026-07-04T15:36:52.581419+00:00
2026-06-10,qf,France,55.914,0,58.5,53.031,2026-07-04T15:36:52.581419+00:00
2026-06-10,qf,Germany,32.894,0,38.0,34.448,2026-07-04T15:36:52.581419+00:00
2026-06-10,qf,Ghana,2.222,0,5.0,4.533,2026-07-04T15:36:52.581419+00:00
2026-06-10,qf,Haiti,0.634,0,2.0,1.813,2026-07-04T15:36:52.581419+00:00
2026-06-10,qf,Iran,4.86,0,6.1,5.53,2026-07-04T15:36:52.581419+00:00
2026-06-10,qf,Iraq,0.2,0,2.05,1.858,2026-07-04T15:36:52.581419+00:00
2026-06-10,qf,Ivory Coast,12.45,0,12.5,11.331,2026-07-04T15:36:52.581419+00:00
2026-06-10,qf,Japan,18.03,0,23.0,20.85,2026-07-04T15:36:52.581419+00:00
2026-06-10,qf,Jordan,0.526,0,1.9,1.722,2026-07-04T15:36:52.581419+00:00
2026-06-10,qf,Mexico,15.106,0,24.5,22.21,2026-07-04T15:36:52.581419+00:00
2026-06-10,qf,Morocco,19.852,0,21.5,19.49,2026-07-04T15:36:52.581419+00:00
2026-06-10,qf,Netherlands,37.636,0,38.5,34.901,2026-07-04T15:36:52.581419+00:00
2026-06-10,qf,New Zealand,1.144,0,2.5,2.266,2026-07-04T15:36:52.581419+00:00
2026-06-10,qf,Norway,22.452,0,31.5,28.555,2026-07-04T15:36:52.581419+00:00
2026-06-10,qf,Panama,1.754,0,2.3,2.085,2026-07-04T15:36:52.581419+00:00
2026-06-10,qf,Paraguay,7.726,0,9.5,8.612,2026-07-04T15:36:52.581419+00:00
2026-06-10,qf,Portugal,45.13,0,52.0,47.139,2026-07-04T15:36:52.581419+00:00
2026-06-10,qf,Qatar,0.314,0,2.45,2.221,2026-07-04T15:36:52.581419+00:00
2026-06-10,qf,Saudi Arabia,0.596,0,2.9,2.629,2026-07-04T15:36:52.581419+00:00
2026-06-10,qf,Scotland,9.924,0,8.5,7.705,2026-07-04T15:36:52.581419+00:00
2026-06-10,qf,Senegal,20.464,0,15.5,14.051,2026-07-04T15:36:52.581419+00:00
