match_id,date,home,away,venue,capacity,actual_attendance,attendance_pct
1,2021-06-11,Turkey,Italy,Stadio Olimpico,70634,12916,0.1829
2,2021-06-12,Wales,Switzerland,Olympic Stadium,68700,8782,0.1278
3,2021-06-16,Turkey,Wales,Olympic Stadium,68700,19762,0.2877
4,2021-06-16,Italy,Switzerland,Stadio Olimpico,70634,12445,0.1762
5,2021-06-20,Switzerland,Turkey,Olympic Stadium,68700,17138,0.2495
6,2021-06-20,Italy,Wales,Stadio Olimpico,70634,11541,0.1634
7,2021-06-12,Denmark,Finland,Parken Stadium,38065,13790,0.3623
8,2021-06-12,Belgium,Russia,Krestovsky Stadium,68134,26264,0.3855
9,2021-06-16,Finland,Russia,Krestovsky Stadium,68134,24540,0.3602
10,2021-06-17,Denmark,Belgium,Parken Stadium,38065,23395,0.6146
11,2021-06-21,Russia,Denmark,Parken Stadium,38065,23644,0.6211
12,2021-06-21,Finland,Belgium,Krestovsky Stadium,68134,18545,0.2722
13,2021-06-13,Austria,North Macedonia,Arena Națională,55634,9082,0.1632
14,2021-06-13,Netherlands,Ukraine,Johan Cruyff Arena,54990,15837,0.288
15,2021-06-17,Ukraine,North Macedonia,Arena Națională,55634,10001,0.1798
16,2021-06-17,Netherlands,Austria,Johan Cruyff Arena,54990,15243,0.2772
17,2021-06-21,North Macedonia,Netherlands,Johan Cruyff Arena,54990,15227,0.2769
18,2021-06-21,Ukraine,Austria,Arena Națională,55634,10472,0.1882
19,2021-06-13,England,Croatia,Wembley Stadium,90000,18497,0.2055
20,2021-06-14,Scotland,Czech Republic,Hampden Park,51866,9847,0.1899
21,2021-06-18,Croatia,Czech Republic,Hampden Park,51866,5607,0.1081
22,2021-06-18,England,Scotland,Wembley Stadium,90000,20306,0.2256
23,2021-06-22,Croatia,Scotland,Hampden Park,51866,9896,0.1908
24,2021-06-22,Czech Republic,England,Wembley Stadium,90000,19104,0.2123
25,2021-06-14,Poland,Slovakia,Krestovsky Stadium,68134,12862,0.1888
26,2021-06-14,Spain,Sweden,Estadio de La Cartuja,60000,10559,0.176
27,2021-06-18,Sweden,Slovakia,Krestovsky Stadium,68134,11525,0.1692
28,2021-06-19,Spain,Poland,Estadio de La Cartuja,60000,11742,0.1957
29,2021-06-23,Slovakia,Spain,Estadio de La Cartuja,60000,11204,0.1867
30,2021-06-23,Sweden,Poland,Krestovsky Stadium,68134,14252,0.2092
31,2021-06-15,Hungary,Portugal,Puskás Aréna,67215,55662,0.8281
32,2021-06-15,France,Germany,Allianz Arena,75024,13000,0.1733
33,2021-06-19,Hungary,France,Puskás Aréna,67215,55998,0.8331
34,2021-06-19,Portugal,Germany,Allianz Arena,75024,12926,0.1723
35,2021-06-23,Portugal,France,Puskás Aréna,67215,54886,0.8166
36,2021-06-23,Germany,Hungary,Allianz Arena,75024,12413,0.1655
37,2021-06-26,Wales,Denmark,Johan Cruyff Arena,54990,14645,0.2663
38,2021-06-26,Italy,Austria,Wembley Stadium,90000,18910,0.2101
39,2021-06-27,Netherlands,Czech Republic,Puskás Aréna,67215,52834,0.786
40,2021-06-27,Belgium,Portugal,Estadio de La Cartuja,60000,11504,0.1917
41,2021-06-28,Croatia,Spain,Parken Stadium,38065,22771,0.5982
42,2021-06-28,France,Switzerland,Arena Națională,55634,22642,0.407
43,2021-06-29,England,Germany,Wembley Stadium,90000,41973,0.4664
44,2021-06-29,Sweden,Ukraine,Hampden Park,51866,9221,0.1778
45,2021-07-02,Switzerland,Spain,Krestovsky Stadium,68134,24764,0.3635
46,2021-07-02,Belgium,Italy,Allianz Arena,75024,12984,0.1731
47,2021-07-03,Czech Republic,Denmark,Olympic Stadium,68700,16306,0.2374
48,2021-07-03,Ukraine,England,Stadio Olimpico,70634,11880,0.1682
49,2021-07-06,Italy,Spain,Wembley Stadium,90000,57811,0.6423
50,2021-07-07,England,Denmark,Wembley Stadium,90000,64950,0.7217
51,2021-07-11,Italy,England,Wembley Stadium,90000,67173,0.7464
