edition,season,cutoff,team,squad_mv_eur,squad_size,matched,valued
WC2010,2009,2010-06-11,Algeria,26750000,23,14,14
WC2010,2009,2010-06-11,Argentina,324500000,23,18,18
WC2010,2009,2010-06-11,Australia,16300000,23,9,8
WC2010,2009,2010-06-11,Brazil,287000000,23,18,15
WC2010,2009,2010-06-11,Cameroon,136650000,23,17,17
WC2010,2009,2010-06-11,Chile,59450000,23,16,15
WC2010,2009,2010-06-11,Denmark,68500000,23,21,18
WC2010,2009,2010-06-11,England,424175000,23,21,21
WC2010,2009,2010-06-11,France,355500000,23,23,22
WC2010,2009,2010-06-11,Germany,286000000,23,22,22
WC2010,2009,2010-06-11,Ghana,47050000,23,20,15
WC2010,2009,2010-06-11,Greece,84050000,23,21,21
WC2010,2009,2010-06-11,Honduras,54300000,23,10,6
WC2010,2009,2010-06-11,Italy,284200000,23,19,19
WC2010,2009,2010-06-11,Ivory Coast,179750000,23,20,19
WC2010,2009,2010-06-11,Japan,27600000,23,14,8
WC2010,2009,2010-06-11,Mexico,45500000,23,16,7
WC2010,2009,2010-06-11,Netherlands,243800000,23,20,20
WC2010,2009,2010-06-11,New Zealand,6850000,23,6,4
WC2010,2009,2010-06-11,Nigeria,71200000,23,16,14
WC2010,2009,2010-06-11,North Korea,29500000,23,20,8
WC2010,2009,2010-06-11,Paraguay,52000000,23,15,9
WC2010,2009,2010-06-11,Portugal,246600000,23,21,20
WC2010,2009,2010-06-11,Serbia,156550000,23,19,17
WC2010,2009,2010-06-11,Slovakia,77600000,23,19,19
WC2010,2009,2010-06-11,Slovenia,18650000,23,12,12
WC2010,2009,2010-06-11,South Africa,11875000,23,7,6
WC2010,2009,2010-06-11,South Korea,27950000,23,23,15
WC2010,2009,2010-06-11,Spain,636800000,23,23,23
WC2010,2009,2010-06-11,Switzerland,69650000,23,14,14
WC2010,2009,2010-06-11,United States,38050000,23,13,11
WC2010,2009,2010-06-11,Uruguay,99050000,23,18,16
WC2014,2013,2014-06-12,Algeria,53700000,23,18,18
WC2014,2013,2014-06-12,Argentina,381500000,23,22,22
