team,total_mv_eur,squad_size,avg_age,scraped_date
France,1480000000.0,26,27.0,2026-05-27
England,1310000000.0,26,27.1,2026-05-27
Spain,1270000000.0,26,26.7,2026-05-27
Germany,998000000.0,26,28.0,2026-05-27
Portugal,965000000.0,26,28.0,2026-05-27
Brazil,909200000.0,26,29.2,2026-05-27
Netherlands,834000000.0,26,27.7,2026-05-27
Argentina,760500000.0,29,28.1,2026-05-27
Norway,586500000.0,26,26.8,2026-05-27
Belgium,555200000.0,26,27.6,2026-05-27
Ivory Coast,536900000.0,26,25.7,2026-05-27
Turkey,533200000.00000006,35,27.1,2026-05-27
Morocco,476200000.0,26,26.4,2026-05-27
Senegal,468000000.0,28,26.9,2026-05-27
Sweden,434380000.0,26,27.4,2026-05-27
Croatia,372800000.0,26,28.3,2026-05-27
United States,370200000.0,26,26.9,2026-05-27
Uruguay,361100000.0,28,28.5,2026-05-27
Switzerland,338600000.0,26,28.3,2026-05-27
Colombia,303950000.0,26,30.1,2026-05-27
Japan,282550000.0,27,28.1,2026-05-27
Austria,267200000.0,26,28.5,2026-05-27
Ecuador,259050000.0,34,24.2,2026-05-27
Ghana,238550000.0,28,26.7,2026-05-27
Algeria,225800000.0,26,26.0,2026-05-27
Canada,217450000.0,32,26.3,2026-05-27
Scotland,207830000.0,26,29.4,2026-05-27
Czechia,192230000.0,29,27.5,2026-05-27
DR Congo,147250000.0,26,29.1,2026-05-27
South Korea,142400000.0,26,28.2,2026-05-27
Bosnia and Herzegovina,140900000.0,26,26.9,2026-05-27
Paraguay,139000000.0,25,28.9,2026-05-27
Egypt,135430000.0,27,28.8,2026-05-27
Mexico,124600000.0,15,26.4,2026-05-27
Uzbekistan,78730000.0,40,27.1,2026-05-27
Tunisia,68250000.0,26,26.6,2026-05-27
Cape Verde,57080000.0,26,29.7,2026-05-27
Haiti,55880000.0,26,27.6,2026-05-27
Australia,50930000.0,26,27.2,2026-05-27
South Africa,45300000.0,26,26.8,2026-05-27
Iran,35500000.0,30,29.2,2026-05-27
Panama,34330000.0,26,30.4,2026-05-27
New Zealand,32799999.999999996,26,28.1,2026-05-27
Saudi Arabia,29180000.0,23,27.7,2026-05-27
Curacao,27780000.0,26,28.0,2026-05-27
Qatar,20480000.0,28,29.0,2026-05-27
Iraq,19200000.0,29,26.4,2026-05-27
Jordan,18250000.0,30,27.8,2026-05-27
