stage,match_id,home_team,away_team,home_goals,away_goals,duration,pen_home,pen_away,winner
group,,Algeria,Austria,3,3,,,,
group,,Argentina,Algeria,3,0,,,,
group,,Argentina,Austria,2,0,,,,
group,,Australia,Turkey,2,0,,,,
group,,Austria,Jordan,3,1,,,,
group,,Belgium,Egypt,1,1,,,,
group,,Belgium,Iran,0,0,,,,
group,,Bosnia and Herzegovina,Qatar,3,1,,,,
group,,Brazil,Haiti,3,0,,,,
group,,Brazil,Morocco,1,1,,,,
group,,Canada,Bosnia and Herzegovina,1,1,,,,
group,,Canada,Qatar,6,0,,,,
group,,Cape Verde,Saudi Arabia,0,0,,,,
group,,Colombia,DR Congo,1,0,,,,
group,,Colombia,Portugal,0,0,,,,
group,,Croatia,Ghana,2,1,,,,
group,,Curacao,Ivory Coast,0,2,,,,
group,,Czechia,Mexico,0,3,,,,
group,,Czechia,South Africa,1,1,,,,
group,,DR Congo,Uzbekistan,3,1,,,,
group,,Ecuador,Curacao,0,0,,,,
group,,Ecuador,Germany,2,1,,,,
group,,Egypt,Iran,1,1,,,,
group,,England,Croatia,4,2,,,,
group,,England,Ghana,0,0,,,,
group,,France,Iraq,3,0,,,,
group,,France,Senegal,3,1,,,,
group,,Germany,Curacao,7,1,,,,
group,,Germany,Ivory Coast,2,1,,,,
group,,Ghana,Panama,1,0,,,,
group,,Haiti,Scotland,0,1,,,,
group,,Iran,New Zealand,2,2,,,,
group,,Iraq,Norway,1,4,,,,
group,,Ivory Coast,Ecuador,1,0,,,,
group,,Japan,Sweden,1,1,,,,
group,,Jordan,Algeria,1,2,,,,
group,,Jordan,Argentina,1,3,,,,
group,,Mexico,South Africa,2,0,,,,
group,,Mexico,South Korea,1,0,,,,
group,,Morocco,Haiti,4,2,,,,
group,,Netherlands,Japan,2,2,,,,
group,,Netherlands,Sweden,5,1,,,,
group,,New Zealand,Belgium,1,5,,,,
group,,New Zealand,Egypt,1,3,,,,
group,,Norway,France,1,4,,,,
group,,Norway,Senegal,3,2,,,,
group,,Panama,Croatia,0,1,,,,
group,,Panama,England,0,2,,,,
group,,Paraguay,Australia,0,0,,,,
group,,Portugal,DR Congo,1,1,,,,
group,,Portugal,Uzbekistan,5,0,,,,
group,,Qatar,Switzerland,1,1,,,,
group,,Saudi Arabia,Uruguay,1,1,,,,
group,,Scotland,Brazil,0,3,,,,
group,,Scotland,Morocco,0,1,,,,
group,,Senegal,Iraq,5,0,,,,
group,,South Africa,South Korea,1,0,,,,
group,,South Korea,Czechia,2,1,,,,
group,,Spain,Cape Verde,0,0,,,,
group,,Spain,Saudi Arabia,4,0,,,,
group,,Sweden,Tunisia,5,1,,,,
group,,Switzerland,Bosnia and Herzegovina,4,1,,,,
group,,Switzerland,Canada,2,1,,,,
group,,Tunisia,Japan,0,4,,,,
group,,Tunisia,Netherlands,1,3,,,,
group,,Turkey,Paraguay,0,1,,,,
group,,Turkey,United States,3,2,,,,
group,,United States,Australia,2,0,,,,
group,,United States,Paraguay,4,1,,,,
group,,Uruguay,Cape Verde,2,2,,,,
group,,Uruguay,Spain,0,1,,,,
group,,Uzbekistan,Colombia,1,3,,,,
ko,73,South Africa,Canada,0,1,REGULAR,,,Canada
ko,74,Germany,Paraguay,1,1,PENALTY_SHOOTOUT,3,4,Paraguay
ko,75,Netherlands,Morocco,1,1,PENALTY_SHOOTOUT,2,3,Morocco
ko,76,Brazil,Japan,2,1,REGULAR,,,Brazil
ko,77,France,Sweden,3,0,REGULAR,,,France
ko,78,Ivory Coast,Norway,1,2,REGULAR,,,Norway
ko,79,Mexico,Ecuador,2,0,REGULAR,,,Mexico
ko,80,England,DR Congo,2,1,REGULAR,,,England
ko,81,United States,Bosnia and Herzegovina,2,0,REGULAR,,,United States
ko,82,Belgium,Senegal,3,2,EXTRA_TIME,,,Belgium
ko,83,Portugal,Croatia,2,1,REGULAR,,,Portugal
ko,84,Spain,Austria,3,0,REGULAR,,,Spain
ko,85,Switzerland,Algeria,2,0,REGULAR,,,Switzerland
ko,86,Argentina,Cape Verde,3,2,EXTRA_TIME,,,Argentina
ko,87,Colombia,Ghana,1,0,REGULAR,,,Colombia
ko,88,Australia,Egypt,1,1,PENALTY_SHOOTOUT,2,4,Egypt
ko,89,Canada,Morocco,0,3,REGULAR,,,Morocco
ko,90,Paraguay,France,0,1,REGULAR,,,France
ko,91,Brazil,Norway,1,2,REGULAR,,,Norway
ko,92,Mexico,England,2,3,REGULAR,,,England
ko,93,Portugal,Spain,0,1,REGULAR,,,Spain
ko,94,United States,Belgium,1,4,REGULAR,,,Belgium
ko,95,Argentina,Egypt,3,2,REGULAR,,,Argentina
ko,96,Switzerland,Colombia,0,0,PENALTY_SHOOTOUT,4,3,Switzerland
